imdb_id,en_name
tt0450314,Punisher: War Zone
tt0080365,American Gigolo
tt4935418,Baskin
tt0050280,The Curse of Frankenstein
tt8099132,Black Mother
tt0454065,The Aerial
tt6462506,The Day After
tt1534085,Beyond the Black Rainbow
tt2334733,Madame Bovary
tt0085852,Liquid Sky
tt0115964,Crash
tt4035268,Cosmos
tt0067958,WR: Mysteries of the Organism
tt8372298,Swallow
tt5058014,Weirdos
tt0330099,The Brown Bunny
tt0181549,Furia
tt0093565,Moonstruck
tt0067085,Fata Morgana
tt0055022,Erik the Conqueror
tt0067386,The Legend of Doom House
tt2147319,Herutâ sukerutâ
tt0049263,The Girl Can't Help It
tt0416220,Kamikaze Girls
tt0100998,Dreams
tt1173745,Revanche
tt0120275,The Tango Lesson
tt0068863,Lisa and the Devil
tt0060464,"Ebirah, Horror of the Deep"
tt0200720,The House of Mirth
tt0099395,Def by Temptation
tt0109655,Double Happiness
tt2121382,Force Majeure
tt0099180,Bride of Re-Animator
tt0022827,Doctor X
tt0059800,Thunderball
tt0119256,Hard Eight
tt3544082,45 Years
tt3908142,The Love Witch
tt1127715,Sin Nombre
tt0091578,My Beautiful Laundrette
tt0085489,L'enfant secret
tt1020559,Patagonia
tt6081670,Possum
tt0067445,Death in Venice
tt0167925,"Late August, Early September"
tt1594562,The Innkeepers
tt1049402,Howl
tt6624144,A Good Woman Is Hard to Find
tt0076686,The Serpent's Egg
tt1470023,MacGruber
tt7950334,The Mountain
tt0063342,Innocence Unprotected
tt1887785,The Legend of Kaspar Hauser
tt3442006,Cake
tt0080610,The Last Metro
tt0299478,Saraband
tt0407621,Calvaire
tt5717492,Small Crimes
tt0078763,Camera Buff
tt0078147,The Kingdom of Naples
tt0092117,True Stories
tt0103956,Child's Play 3
tt0095488,The Lair of the White Worm
tt1407065,The Moth Diaries
tt0293113,Dracula: Pages from a Virgin's Diary
tt0101991,Rhapsody in August
tt0039192,Black Narcissus
tt0063426,Petulia
tt0098226,Roselyne and the Lions
tt0084719,The New York Ripper
tt0057058,The Fire Within
tt4630550,The Unknown Girl
tt1864405,Low Down
tt3110960,Jimmy's Hall
tt0023649,Vampyr
tt0062751,Boom!
tt0014142,The Hunchback of Notre Dame
tt0103316,Yumeji
tt0385887,Motherless Brooklyn
tt0067962,Beware of a Holy Whore
tt0367089,The Squid and the Whale
tt0055082,"Léon Morin, Priest"
tt4270452,Seven Stages to Achieve Eternal Bliss
tt0078326,Straight Time
tt4761112,The Mauritanian
tt1431181,Another Year
tt3395184,Spring
tt1691920,I Melt with You
tt1560747,The Master
tt0409345,Surveillance
tt3235888,It Follows
tt0052328,Head Against the Wall
tt0060675,Masculin Féminin
tt0338095,High Tension
tt0059592,Pierrot le Fou
tt0084777,Tenebrae
tt0066892,Carnal Knowledge
tt0077751,Alexandria... Why?
tt0095217,Ghosts... of the Civil Dead
tt0073233,Katie Tippel
tt5796156,Room for Rent
tt0035015,The Magnificent Ambersons
tt6198946,The Hole in the Ground
tt6372694,Prisoners of the Ghostland
tt0095675,Women on the Verge of a Nervous Breakdown
tt3892172,Leave No Trace
tt0166110,Bones
tt1160419,Dune
tt4632440,The Dancer
tt5989220,Claire's Camera
tt1869716,The East
tt0098253,Santa Sangre
tt0096332,The Unbearable Lightness of Being
tt0061395,Belle de Jour
tt2217859,Louder Than Bombs
tt0074312,Chinese Roulette
tt0063285,Witchfinder General
tt0065553,Five Dolls for an August Moon
tt0064781,Fruit of Paradise
tt1788391,Kill List
tt0061856,Son of Godzilla
tt3993894,Queen of Earth
tt0058557,Seance on a Wet Afternoon
tt0072962,F for Fake
tt0068611,Frenzy
tt8637428,The Farewell
tt0054177,Le Petit Soldat
tt2893490,Manglehorn
tt0451094,Lady Vengeance
tt0028165,Redes
tt0295743,Friday Night
tt1966604,The Imposter
tt0070116,Successive Slidings of Pleasure
tt10633456,Minari
tt0064588,Love Is Colder Than Death
tt0265459,One Hour Photo
tt6303866,Beach Rats
tt0140379,A Midsummer Night's Dream
tt0067690,Daughters of Darkness
tt0152015,Pola X
tt0019071,The Last Command
tt0118819,Live Flesh
tt7242142,Blindspotting
tt5687334,Godard Mon Amour
tt0064280,Eika Katappa
tt0101420,Begotten
tt0067924,Vampire Circus
tt0093349,King Lear
tt0087100,Crimes of Passion
tt0088461,What Have I Done to Deserve This?
tt0095895,Powaqqatsi
tt0071807,The Man with the Golden Gun
tt0058544,"Ghidorah, the Three-Headed Monster"
tt0203119,Sexy Beast
tt1100048,35 Shots of Rum
tt6000478,"Roman J. Israel, Esq."
tt0102687,Poison
tt0079641,Nosferatu the Vampyre
tt0084549,Blind Chance
tt0061101,Tokyo Drifter
tt0044000,The White Sheik
tt0112625,Candyman: Farewell to the Flesh
tt2204080,Wildlike
tt0059792,Planet of the Vampires
tt1700844,The Deep Blue Sea
tt9356952,The Death of Dick Long
tt2349144,Mississippi Grind
tt0102035,Highway 61
tt0096863,My Twentieth Century
tt0070263,Kamouraska
tt0111689,What Happened Was...
tt7645780,The Wedding Guest
tt0076752,The Spy Who Loved Me
tt0117958,Trees Lounge
tt0071695,Lone Wolf and Cub: White Heaven in Hell
tt0415978,Me and You and Everyone We Know
tt0068290,Blood from the Mummy's Tomb
tt0081150,Melvin and Howard
tt0381505,Pretty Persuasion
tt8708304,I Trapped the Devil
tt0099768,Hidden Agenda
tt1127877,Cold Souls
tt1951181,The Immigrant
tt0065851,The Horror of Frankenstein
tt0116005,The Day a Pig Fell Into the Well
tt7125860,If Beale Street Could Talk
tt3591436,Night Owls
tt1153690,Ballast
tt4054654,Dog Eat Dog
tt0066380,Vampyros Lesbos
tt5516328,Ghost Stories
tt0074512,Family Plot
tt0073540,Picnic at Hanging Rock
tt0125217,The Discarnates
tt0101273,The Adjuster
tt0387055,Battle in Heaven
tt0123368,...and the Fifth Horseman Is Fear
tt3914332,Dean
tt6257174,The Miseducation of Cameron Post
tt0756729,Year of the Dog
tt3343784,Entertainment
tt1623745,Little Birds
tt0072979,Female Trouble
tt0080397,From the Life of the Marionettes
tt0844286,The Brothers Bloom
tt12676326,Malcolm & Marie
tt0057611,The Silence
tt5598102,Faces Places
tt0071396,Messiah of Evil
tt0075963,The Wishing Tree
tt4266076,The Night Eats the World
tt0089015,Desert Hearts
tt0060955,Seconds
tt4068576,The Nightingale
tt4144190,Wiener-Dog
tt2692904,Locke
tt3263614,"Kumiko, The Treasure Hunter"
tt0080360,Altered States
tt3218580,Alleluia
tt0040979,Drunken Angel
tt0067341,Let's Scare Jessica to Death
tt1877830,The Batman
tt0093295,Jane B. for Agnes V.
tt2815902,The Childhood of a Leader
tt0109688,Ashes of Time
tt5895028,13th
tt0299458,All the Real Girls
tt0065724,Five Easy Pieces
tt0058283,Lady in a Cage
tt3305844,Hellions
tt0065036,Stereo (Tile 3B of a CAEE Educational Mosaic)
tt0094320,White of the Eye
tt2326554,A Girl Walks Home Alone at Night
tt10314450,Becky
tt0057076,From Russia with Love
tt0089343,Insignificance
tt2113636,Colt 45
tt8015444,Last and First Men
tt8291806,Pain and Glory
tt0085356,Conquest
tt0075244,The Song Remains the Same
tt4291600,Lady Macbeth
tt4197642,A Date for Mad Mary
tt0075335,Todo modo
tt6418918,Little Woods
tt0075675,The American Friend
tt1691323,Attenberg
tt2818654,Cemetery of Splendor
tt0094675,Ariel
tt4935334,Southbound
tt4427840,Florida Man
tt0171685,Ratcatcher
tt0101962,Godzilla vs. King Ghidorah
tt3986820,The Endless
tt0071269,California Split
tt0119347,I Want You
tt0095812,Paganini Horror
tt4936450,Graduation
tt0056581,Therese
tt0093428,The Living Daylights
tt0066849,The Blood on Satan's Claw
tt10243992,I'm Your Woman
tt0117407,Pusher
tt12536294,Spencer
tt0055499,Through a Glass Darkly
tt0454841,The Hills Have Eyes
tt0076162,House
tt0103253,Whore
tt8134742,3 from Hell
tt0061882,Branded to Kill
tt1334537,Humpday
tt0107315,Kika
tt0162346,Ghost World
tt0091670,The Sacrifice
tt5501104,Border
tt0062885,The Devil Rides Out
tt0138946,The Yards
tt0053137,On the Beach
tt1959438,Kiss of the Damned
tt0116722,Jude
tt2717822,Blackhat
tt2366608,Lost River
tt5705306,Celeste
tt1570583,For Ellen
tt0083722,Cat People
tt1937390,Nymphomaniac: Vol. I
tt0041399,Prison
tt0050873,Quatermass 2
tt0114323,Safe
tt1780798,Clown
tt1821593,Rundskop
tt0102383,Malina
tt0098209,Roadkill
tt0086154,Psycho II
tt15097216,Jai Bhim
tt3720788,The Disappearance of Eleanor Rigby: Her
tt0228853,"Throw Away Your Books, Rally in the Streets"
tt0430912,Basic Instinct 2
tt0048750,The Trouble with Harry
tt0052017,Brink of Life
tt1712261,Triple 9
tt5536736,The Meyerowitz Stories
tt2044729,A Glimpse Inside the Mind of Charles Swan III
tt1790834,Simon Killer
